h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main;PPV_subproblem_main;PWT_subproblem_main ;Balance P ;Balance H2
53;1122.0821;20000;20000;37.1807;0;540.9794;0;0;0;0;175.7409;0;1297.823;0;0
54;1122.0821;20000;20000;37.1807;0;577.0447;0;0;0;0;173.3732;1.0895;1294.3658;0;0
55;1122.0821;20000;20000;37.1807;0;613.11;0;0;0;0;188.2448;2.5696;1307.7574;1.00E-04;0
56;1122.0821;20000;20000;37.1807;0;649.1753;0;0;0;0;193.7515;80.2238;1235.6097;-0.0001;0
57;1122.0821;20000;20000;37.1807;0;685.2406;0;0;0;0;265.9129;182.4917;1205.5033;0;0
58;1122.0821;20000;20000;37.1807;0;721.3059;0;0;0;0;320.9973;212.9973;1230.0821;0;0
59;1122.0821;20000;20000;37.1807;0;757.3712;0;0;0;0;349.7478;246.9499;1224.88;0;0
60;1122.0821;20000;20000;37.1807;0;793.4365;0;0;0;0;235.432;263.9818;1093.5324;1.00E-04;0
61;1122.0821;20000;20000;37.1807;0;829.5018;0;0;0;0;56.175;271.776;906.4811;0;0
62;1120;20000;20000;0;0;829.5018;0;0;0;107.929;0;260.6999;751.3711;0;0
63;1120;20000;20000;0;0;829.5018;0;0;0;220.3884;0;243.394;656.2175;-1.00E-04;0
64;1120;20000;20000;0;0;829.5018;0;0;0;245.5848;0;209.9669;664.4483;0;0
65;1120;20000;20000;0;0;829.5018;0;0;0;245.4125;0;164.8035;709.784;0;0
66;1120;20000;20000;0;0;829.5018;0;0;0;194.5276;0;132.7338;792.7386;0;0
67;1120;20000;20000;0;0;829.5018;0;0;0;311.5191;0;0;808.4809;0;0
68;1120;20000;20000;0;0;829.5018;0;0;0;253.8438;0;0;866.1562;0;0
69;1088.6549;19440.2666;20000;0;559.7334;252.4571;0;0;0;10.5592;0;0;1078.0957;0;1.02E-12
70;1122.0821;20000;20000;37.1807;0;288.5224;0;0;0;0;79.5747;0;1201.6569;1.00E-04;0
71;1122.0821;20000;20000;37.1807;0;324.5877;0;0;0;0;190.82;0;1312.9022;1.00E-04;0
72;1122.0821;20000;20000;37.1807;0;360.653;0;0;0;0;196.8809;0;1318.963;0;0
73;1122.0821;20000;20000;37.1807;0;396.7183;0;0;0;0;231.8663;0;1353.9484;0;0
74;1122.0821;20000;20000;37.1807;0;432.7835;0;0;0;0;240.8125;0;1362.8946;0;0
75;1122.0821;20000;20000;37.1807;0;468.8488;0;0;0;0;265.4321;0;1387.5142;0;0
76;1122.0821;20000;20000;37.1807;0;504.9141;0;0;0;0;251.2119;0;1373.2941;1.00E-04;0
77;1122.0821;20000;20000;37.1807;0;540.9794;0;0;0;0;194.5723;0;1316.6544;0;0
78;1122.0821;20000;20000;37.1807;0;577.0447;0;0;0;0;189.9795;1.1942;1310.8673;-0.0001;0
79;1122.0821;20000;20000;37.1807;0;613.11;0;0;0;0;199.3686;2.6855;1318.7652;0;0
80;1122.0821;20000;20000;37.1807;0;649.1753;0;0;0;0;230.4015;79.8559;1272.6278;1.00E-04;0
81;1122.0821;20000;20000;37.1807;0;685.2406;0;0;0;0;276.5521;181.2219;1217.4123;0;0
82;1122.0821;20000;20000;37.1807;0;721.3059;0;0;0;0;339.9992;214.3561;1247.7252;0;0
83;1122.0821;20000;20000;37.1807;0;757.3712;0;0;0;0;336.9959;236.0014;1223.0766;0;0
84;1122.0821;20000;20000;37.1807;0;793.4365;0;0;0;0;221.7455;261.5111;1082.3165;0;0
85;1122.0821;20000;20000;37.1807;0;829.5018;0;0;0;0;17.3927;257.1048;882.3701;1.00E-04;0
86;1120;20000;20000;0;0;829.5018;0;0;0;127.2495;0;267.5635;725.1871;1.00E-04;0
87;1120;20000;20000;0;0;829.5018;0;0;0;235.3118;0;238.0193;646.669;1.00E-04;0
88;1120;20000;20000;0;0;829.5018;0;0;0;213.3497;0;224.6913;681.959;0;0
89;1120;20000;20000;0;0;829.5018;0;0;0;230.4692;0;181.4143;708.1164;-1.00E-04;0
90;1120;20000;20000;0;0;829.5018;0;0;0;201.5071;0;143.0872;775.4056;-1.00E-04;0
91;1120;20000;20000;0;0;829.5018;0;0;0;292.2914;0;0;827.7086;0;0
92;1084.7368;19370.2999;20000;0;629.7001;180.3265;0;0;0;145.8519;0;0;938.8849;0;-1.82E-12
93;1122.0821;20000;20000;37.1807;0;216.3918;0;0;0;0;80.4693;0;1202.5515;1.00E-04;0
94;1122.0821;20000;20000;37.1807;0;252.4571;0;0;0;0;221.2326;0;1343.3147;0;0
95;1122.0821;20000;20000;37.1807;0;288.5224;0;0;0;0;330.6692;0;1452.7513;0;0
96;1122.0821;20000;20000;37.1807;0;324.5877;0;0;0;0;351.8577;0;1473.9398;0;0
97;1122.0821;20000;20000;37.1807;0;360.653;0;0;0;0;360.9786;0;1483.0607;0;0
98;1122.0821;20000;20000;37.1807;0;396.7183;0;0;0;0;363.1393;0;1485.2215;1.00E-04;0
99;1122.0821;20000;20000;37.1807;0;432.7835;0;0;0;0;372.4579;0;1494.54;0;0
100;1122.0821;20000;20000;37.1807;0;468.8488;0;0;0;0;365.1133;0;1487.1954;0;0
101;1122.0821;20000;20000;37.1807;0;504.9141;0;0;0;0;329.5857;0;1451.6678;0;0
102;1122.0821;20000;20000;37.1807;0;540.9794;0;0;0;0;315.6974;0.9621;1436.8175;1.00E-04;0
103;1122.0821;20000;20000;37.1807;0;577.0447;0;0;0;0;311.8747;2.4171;1431.5397;0;0
104;1122.0821;20000;20000;37.1807;0;613.11;0;0;0;0;385.5934;73.8407;1433.8348;0;0
105;1122.0821;20000;20000;37.1807;0;649.1753;0;0;0;0;444.5502;176.796;1389.8363;0;0
106;1122.0821;20000;20000;37.1807;0;685.2406;0;0;0;0;449.927;206.5783;1365.4308;0;0
107;1122.0821;20000;20000;37.1807;0;721.3059;0;0;0;0;438.3471;249.4355;1310.9938;1.00E-04;0
108;1122.0821;20000;20000;37.1807;0;757.3712;0;0;0;0;324.8831;271.9639;1175.0013;0;0
109;1122.0821;20000;20000;37.1807;0;793.4365;0;0;0;0;167.547;280.6245;1009.0046;0;0
110;1122.0821;20000;20000;37.1807;0;829.5018;0;0;0;0;11.3298;291.7257;841.6861;-1.00E-04;0
111;1120;20000;20000;0;0;829.5018;0;0;0;113.2222;0;267.6943;739.0835;0;0
